case_id,path_id,initial_soc,bill,band_fee,degradation,terminal,cost,exceed_hours,terminal_soc,max_action_violation_kw
0,0,0.5,367.32242190394663,140.0,139.92948489683977,0.1369406666907523,647.3888474674771,3.5,0.4964424029444978,0.0
1,1,0.5,1510.3621724609195,540.0,258.51529599966955,0.039910808674401055,2308.917379269263,13.5,0.49807940496494324,0.0
2,2,0.5,843.6249922186221,310.0,269.1994750472035,0.2329107669770338,1423.0573780328027,7.75,0.4953603489234195,0.0
3,3,0.5,669.997658515716,310.0,271.32462887886027,0.08811363623991783,1251.4104010308163,7.75,0.497146275130646,0.0
4,0,0.2,381.13795033754155,160.0,147.31130646154043,0.13694066669074803,688.5861974657727,4.0,0.4964424029444979,0.0
5,1,0.2,1523.3348514836698,560.0,259.7954439341524,0.03991080867440798,2343.1702062264967,14.0,0.4980794049649431,0.0
6,2,0.2,860.9242178039419,320.0,275.1455653563353,1.7888094156277146,1457.8585925759048,8.0,0.4871420250853256,0.0
7,3,0.2,687.3646416863246,330.0,275.2996984739976,0.08811363623991098,1292.7524537965621,8.25,0.49714627513064613,0.0
8,0,0.8,351.7695037842578,120.0,133.822510185518,0.1369406666907523,605.7289546364665,3.0,0.4964424029444978,0.0
9,1,0.8,1489.221623115189,520.0,254.3802738919401,0.039910808674403365,2263.6418078158035,13.0,0.4980794049649432,0.0
10,2,0.8,830.1710772202513,290.0,264.4256066314163,0.23291076697704496,1384.8295946186447,7.25,0.4953603489234194,0.0
11,3,0.8,652.4510856371958,290.0,261.783677600388,0.08811363623991098,1204.3228768738238,7.25,0.49714627513064613,0.0
