fee,scenarios,limit_s,states,incumbent_fraction,timelimit_fraction,finite_gap_fraction,median_finite_gap_percent,p95_finite_gap_percent,mean_finite_gap_percent,median_absolute_gap_eur,mean_primal_improvement_eur,mean_dual_improvement_eur,mean_action_change_kw,changed_action_fraction,mean_solve_s
40,8,5,36,1.0,1.0,0.9166666666666666,12.402898617145393,10834.704014471603,3499.1714968507226,462.0821881675575,0.0,0.0,0.0,0.0,4.852370394444446
40,8,15,36,1.0,0.5833333333333334,1.0,0.9153944704399685,11.843659768086068,2.2771222921280545,5.001577377267608,444.8846619106511,354.50831305211,241.72803886346458,0.6111111111111112,12.359497008333337
40,8,60,36,1.0,0.08333333333333333,1.0,0.7663305588283857,1.2440393541581,0.7368982151094767,3.7868895116957333,455.30992364505244,354.51871858502847,233.3502395309239,0.5833333333333334,20.5466671861111
40,8,300,36,1.0,0.08333333333333333,1.0,0.7663305588283857,1.220057848079805,0.7351544551872591,3.7868895116957333,455.30992364505244,354.5297918276178,233.3502395309239,0.5833333333333334,41.42250638333337
40,16,5,36,1.0,1.0,0.5,2845.6171228805842,4802.1738870157105,2925.5978529597755,1481.1336114839041,0.0,0.0,0.0,0.0,4.889644108333334
40,16,15,36,1.0,1.0,1.0,1106.7188556557596,23499.59973545686,6072.706579111311,808.0728719515148,340.435560509385,423.2829789023157,106.80740461195343,0.3888888888888889,14.851394783333332
40,16,60,36,1.0,0.6388888888888888,1.0,1.2290143105407971,6.350169041230314,2.1884750308554866,7.715740803241772,816.6334873890687,423.3025804800429,290.3895974483447,0.9166666666666666,52.63260806111113
40,16,300,36,1.0,0.5555555555555556,1.0,1.0228650426698065,4.947448804803674,1.5194198604306708,5.812712773700184,820.5025166592657,423.31720110516216,288.77410469510295,0.8888888888888888,193.8316234361112
80,8,5,36,1.0,1.0,0.9166666666666666,12.89066546329393,14533.406174586587,4581.808036802695,1332.4692032273826,0.0,0.0,0.0,0.0,4.937099480555556
80,8,15,36,1.0,0.9722222222222222,1.0,2.4058150592856267,7.194625475378983,3.11992786943958,15.147212333727339,678.2230102902009,423.86918536429386,181.1513589337726,0.6388888888888888,14.678174802777786
80,8,60,36,1.0,0.8888888888888888,1.0,1.7573590248656303,3.3620536135321912,1.8743590050909975,12.397871618261377,687.9953171968118,423.93926798251863,173.67878725691995,0.6111111111111112,56.59861657500001
80,8,300,36,1.0,0.75,1.0,1.5272302593393028,2.729165441140581,1.6183142857734076,9.912940175577035,689.8034432668386,424.00200893508776,167.81029080585392,0.6111111111111112,244.7861147694444
80,16,5,36,1.0,1.0,0.5,3442.221845936389,5827.056247613586,3711.366456197461,1796.7586114839041,0.0,0.0,0.0,0.0,4.883801127777778
80,16,15,36,1.0,1.0,1.0,1400.2644096484871,21430.25204598791,6225.282703525047,855.6298372214816,454.9432655659679,533.1266081065382,140.65887700494056,0.4722222222222222,14.88602181944445
80,16,60,36,1.0,1.0,1.0,2.7871893291163636,6.469429300020145,3.4824890352673785,19.544962245159013,1110.3240092519807,533.1799569346832,313.65956796374877,0.9444444444444444,59.84411166666665
80,16,300,36,1.0,1.0,1.0,2.38104460550618,4.4748310261152735,2.6400198486015434,18.128033852314843,1115.6473134320468,533.227993749725,309.19647950500826,0.9444444444444444,299.8031137805555
