n,method,repetition,device,workers,wall_s,setup_s
1,miqp,0,cpu,1,197.9596831,0.1857076
1,batched,0,cpu,1,3.3150019999999927,0.0
1,reference,0,cpu,1,0.0277827999999829,0.0
1,scalar,0,cpu,1,3.266617300000007,0.0
1,scalar,1,cpu,1,3.315897299999989,0.0
1,batched,1,cpu,1,3.4015972999999917,0.0
1,reference,1,cpu,1,0.027874400000001742,0.0
1,scalar,2,cpu,1,3.3089006000000154,0.0
1,batched,2,cpu,1,3.3171834000000047,0.0
1,reference,2,cpu,1,0.02825889999999731,0.0
4,miqp,0,cpu,4,221.93187189999998,0.20842250000001172
4,scalar,0,cpu,1,13.086490900000001,0.0
4,batched,0,cpu,1,14.017847700000004,0.0
4,reference,0,cpu,1,0.0587474999999813,0.0
4,batched,1,cpu,1,14.186843199999998,0.0
4,reference,1,cpu,1,0.06662750000000983,0.0
4,scalar,1,cpu,1,13.236456199999992,0.0
4,reference,2,cpu,1,0.0599476000000001,0.0
4,batched,2,cpu,1,14.0665879,0.0
4,scalar,2,cpu,1,13.2425735,0.0
12,miqp,0,cpu,4,620.2853805000001,0.22574660000003632
12,reference,0,cpu,1,0.1404371999999796,0.0
12,batched,0,cpu,1,42.03762850000001,0.0
12,scalar,0,cpu,1,39.158923500000014,0.0
12,batched,1,cpu,1,42.54021,0.0
12,scalar,1,cpu,1,39.51185429999998,0.0
12,reference,1,cpu,1,0.14030960000002324,0.0
12,scalar,2,cpu,1,39.7469894,0.0
12,reference,2,cpu,1,0.14513259999999661,0.0
12,batched,2,cpu,1,42.3027324,0.0
