n,method,device,workers,repeats,median_wall_s,min_wall_s,max_wall_s
1,batched,cpu,1,3,3.3171834000000047,3.3150019999999927,3.4015972999999917
1,miqp,cpu,1,1,197.9596831,197.9596831,197.9596831
1,reference,cpu,1,3,0.027874400000001742,0.0277827999999829,0.02825889999999731
1,scalar,cpu,1,3,3.3089006000000154,3.266617300000007,3.315897299999989
4,batched,cpu,1,3,14.0665879,14.017847700000004,14.186843199999998
4,miqp,cpu,4,1,221.93187189999998,221.93187189999998,221.93187189999998
4,reference,cpu,1,3,0.0599476000000001,0.0587474999999813,0.06662750000000983
4,scalar,cpu,1,3,13.236456199999992,13.086490900000001,13.2425735
12,batched,cpu,1,3,42.3027324,42.03762850000001,42.54021
12,miqp,cpu,4,1,620.2853805000001,620.2853805000001,620.2853805000001
12,reference,cpu,1,3,0.1404371999999796,0.14030960000002324,0.14513259999999661
12,scalar,cpu,1,3,39.51185429999998,39.158923500000014,39.7469894
