fee,comparator,n_days,n_training_batches,mean_diff,mean_learned,mean_comparator,percent_diff,ci95_low,ci95_high,one_sided_95_upper,one_sided_p,superiority,holm_p_all,holm_p_primary
20,no_storage,30,1,-57.03815618024488,1258.2264736092236,1315.264629789469,-4.336629670439388,-73.35968889127135,-42.632032603566785,-44.64391740725923,9.999000099990002e-05,True,0.0014998500149985003,
20,validation_tuned_price_rule,30,1,-57.03815618024488,1258.2264736092236,1315.264629789469,-4.336629670439388,-73.49712719541479,-42.52904121445889,-44.28767975525456,9.999000099990002e-05,True,0.0014998500149985003,
20,convex_envelope_mpc,30,1,-57.00271631846992,1258.2264736092236,1315.2291899276936,-4.334051947372284,-73.05385127271431,-42.46237384585631,-44.373905408018736,9.999000099990002e-05,True,0.0014998500149985003,
20,deterministic_exact_band_miqp,30,1,10.262914943188651,1258.2264736092236,1247.9635586660347,0.822372966896471,6.721074029190428,14.213980330074278,13.584009134944319,1.0,False,1.0,1.0
20,stochastic_two_stage_exact_band_miqp,30,1,14.697174051329117,1258.2264736092236,1243.5292995578943,1.1818920596848286,11.234796027024426,17.812108815601135,17.41031816375852,1.0,False,1.0,1.0
40,no_storage,30,5,-261.46212268846995,1489.1358404343334,1750.5979631228038,-14.935589335546855,-287.52351852951574,-239.03304411727058,-241.59397790250281,9.999000099990002e-05,True,0.0014998500149985003,
40,validation_tuned_price_rule,30,5,-261.46212268846995,1489.1358404343334,1750.5979631228038,-14.935589335546855,-287.6518334648818,-238.78379638095603,-241.71627087792982,9.999000099990002e-05,True,0.0014998500149985003,
40,convex_envelope_mpc,30,5,-261.43843076825755,1489.1358404343334,1750.574271202591,-14.93443809091615,-286.8399458662215,-238.81810129416854,-241.49856981526816,9.999000099990002e-05,True,0.0014998500149985003,
40,deterministic_exact_band_miqp,30,5,24.324933832880046,1489.1358404343334,1464.8109066014536,1.6606193825602356,18.069000630555905,31.47944386655068,30.29140844050321,1.0,False,1.0,1.0
40,stochastic_two_stage_exact_band_miqp,30,5,33.106370415774066,1489.1358404343334,1456.029470018559,2.2737431554425944,25.648178510679024,41.57925537450917,40.190988353361064,1.0,False,1.0,1.0
80,no_storage,30,1,-851.5596356034804,1769.7049941859927,2621.264629789473,-32.48659543664134,-887.9310516317679,-818.440302987883,-823.1325678593677,9.999000099990002e-05,True,0.0014998500149985003,
80,validation_tuned_price_rule,30,1,-851.5596356034804,1769.7049941859927,2621.264629789473,-32.48659543664134,-888.1434549987832,-817.6628845017926,-822.0594073550001,9.999000099990002e-05,True,0.0014998500149985003,
80,convex_envelope_mpc,30,1,-851.583737767917,1769.7049941859927,2621.288731953909,-32.48721620731747,-887.6245261248613,-818.188724808605,-822.5291023895966,9.999000099990002e-05,True,0.0014998500149985003,
80,deterministic_exact_band_miqp,30,1,-12.50123588044452,1769.7049941859927,1782.2062300664372,-0.701447210179402,-18.937610709194043,-5.083017011222009,-6.395172716457513,9.999000099990002e-05,True,0.0014998500149985003,0.0005999400059994001
80,stochastic_two_stage_exact_band_miqp,30,1,23.60172713489401,1769.7049941859927,1746.1032670510988,1.3516799137976365,16.160518257378964,31.20985336034113,30.10484253942156,1.0,False,1.0,1.0
