fee,seed,batch,selected_by_batch,validation_mean_common_cost,test_mean_common_cost,training_wall_s,value_fit_wall_s,training_manifest,training_manifest_sha256,validation_controller_s
20,0,0,False,1063.751127847569,1256.731566380628,213.0,200.31439399719238,results/logs/train_v3_winter_fee20_1788702285.json,69cad45be6942a5c56e0737b1ba0aeec1ef182ccdaa60c7495a92a913cab707e,35.593023500000065
20,1,0,True,1060.1256350386827,1258.2264736092236,234.0,221.4954822063446,results/logs/train_v3_winter_fee20_1788702535.json,b65f784d36815253052906d0395f41c019627310506c46e5bb3cedb46eded1e5,36.7766532000001
20,2,0,False,1067.4548768866005,1263.7083671708488,250.0,234.35496544837952,results/logs/train_v3_winter_fee20_1788702808.json,75291c8942ee44887e7c0bc3880d15a8d169e123080fa734b569590fb18eae3a,36.180400299999974
20,3,0,False,1074.446610343764,1266.1591325185811,246.0,230.72047328948975,results/logs/train_v3_winter_fee20_1788703102.json,f961c8a97dbda2b7d2e28d9d4bdb929a7e3af19a86a5dccec52d4c83e09bf738,36.191223900000196
20,4,0,False,1084.2084451857986,1276.9949317311757,245.0,230.74176359176636,results/logs/train_v3_winter_fee20_1788703392.json,167ad21ad23712796eb41cadee5064a540c5c0e924abf806a616ad0eb102f5ba,35.889493999999715
40,0,0,False,1306.7169561599906,1489.9177381036573,246.0,231.52141952514648,results/logs/train_v3_winter_fee40_1788703681.json,eb3e99ffeaafb7b2ef1e728ceda83f7ebc84a7fcd7946b18f84c7e759a847b59,36.4180805000002
40,1,0,False,1368.7866956854825,1587.5574195381087,243.0,228.6421353816986,results/logs/train_v3_winter_fee40_1788703971.json,bc2617848a64a0200e38778c6cc44982f3fad562f25a0b1ba4449c1ca1e063e5,36.51238220000021
40,2,0,True,1303.9358200800455,1501.1265959986915,244.0,228.9391689300537,results/logs/train_v3_winter_fee40_1788704258.json,a99cce88a9e1941f74612fdce3c205b6b177ec66eb8dc3b51efe163ff8b29423,36.362792600000176
40,3,0,False,1375.0957578114997,1559.2715798064648,245.0,228.9824743270874,results/logs/train_v3_winter_fee40_1788704547.json,f4f3f91426e83197ed319f99d84d222943bae86c2bba3aa41321483bdb78a662,36.01249479999998
40,4,0,False,1304.766855729717,1491.3010318163322,244.0,229.20247626304626,results/logs/train_v3_winter_fee40_1788704836.json,fd470e7ecfe09b57222d09a3ab12c732a5adbb1280a3589ebb5803860b04fd83,35.90698759999969
40,5,1,False,1332.119755108437,1503.4899994576144,244.0,229.908264875412,results/logs/train_v3_winter_fee40_1788705124.json,caaa503cf2463d4d1c43d12694d7df5ceee4d893e11f6bf78222eb0c3062ee42,36.55989989999985
40,6,1,True,1298.372786438439,1486.258049428928,246.0,231.08280634880066,results/logs/train_v3_winter_fee40_1788705412.json,b81a697fa9f4eb799909503e73e968575639581412f3e3a16d8ec271f4e0acb5,36.18732409999995
40,7,1,False,1304.457339148631,1503.4986756578444,248.0,233.4851438999176,results/logs/train_v3_winter_fee40_1788705702.json,347778a58aff4101085401ece82a87e66f731931881ebe44c92778f98d8d4b1b,37.27545770000032
40,8,1,False,1305.2293010723815,1487.5958494633144,244.0,229.7446846961975,results/logs/train_v3_winter_fee40_1788705995.json,1c28b47c78ddbd1ef7187c4fc64a84d60f245e3c5d2cd32a6eb6ee46075894dd,35.1991069999998
40,9,1,False,1323.2121978422704,1500.3204295174003,243.0,228.77593660354614,results/logs/train_v3_winter_fee40_1788706283.json,3e5c70331d8a9fa454990ef354e6f2efa7904116f970bb00249ceb148457f3ff,35.53906360000003
40,10,2,False,1342.1585715041438,1506.4735381385133,243.0,227.98501539230347,results/logs/train_v3_winter_fee40_1788712303.json,4165efcd849de87b2a38620a92502057f4923007d512dd040f9fb990e0ab55e8,37.84837370000013
40,11,2,True,1296.3447960000478,1485.0919930831485,242.0,227.75072526931763,results/logs/train_v3_winter_fee40_1788712589.json,cf10d6196bf670d91b3ac2e38a4bd16a7dbffe9952745d10ee5a4022a5cfc378,36.87937320000035
40,12,2,False,1373.936527272994,1527.005598762489,243.0,228.97279739379883,results/logs/train_v3_winter_fee40_1788712874.json,2ebc396656c9e9a17765fd67f76557ef8ec30d0aa84fc3978d1cca5b31996b41,35.917885100000156
40,13,2,False,1343.8442567380023,1526.3802733220598,243.0,228.32104897499084,results/logs/train_v3_winter_fee40_1788713161.json,e92ff8fb0630f7c11523433f3db71a172184678cb50c3bc8137c6d01bbb60658,35.35652989999987
40,14,2,False,1313.7156816557829,1492.392977352937,244.0,229.18500089645386,results/logs/train_v3_winter_fee40_1788713447.json,a91ebb8f172daa7055dadd449dbf2cfa0912c75fd4a349bf8a929854a00ce47a,35.233026099999954
40,15,3,False,1310.9930004015662,1498.8060636275463,241.0,227.50713682174683,results/logs/train_v3_winter_fee40_1788713735.json,d12319413aab7f582f7ae124ea0f6d5dd6dc40972c1d3257d63d3295b2d11b7a,35.3877487
40,16,3,True,1306.8996362061619,1487.170800533375,247.0,230.70894598960876,results/logs/train_v3_winter_fee40_1788714017.json,ec99c6c12e8e8d5016a46fa9e2ad06ee0c6b086448d7a946c54d29b1dada522a,35.249176300000045
40,17,3,False,1308.534327301898,1481.732956597106,263.0,247.40961480140686,results/logs/train_v3_winter_fee40_1788714309.json,8b3ce36fa2713535a8a33d45009d268b3f30c359ff6236788236d48930715c02,36.08165010000011
40,18,3,False,1320.146309901345,1504.6225687463814,256.0,239.50831198692322,results/logs/train_v3_winter_fee40_1788714619.json,32094f4bfb409798f63c6207d931b14e2357acf74137680cb05ff1a3703d92a4,35.226407699999854
40,19,3,False,1366.4143494585408,1532.4036662751955,255.0,238.9280388355255,results/logs/train_v3_winter_fee40_1788714923.json,f839d556b1337591803207f670ee75381397aa43c72fd7daa55ce8e3564ef39d,35.067241800000204
40,20,4,True,1298.701157376334,1486.0317631275248,257.0,240.957617521286,results/logs/train_v3_winter_fee40_1788715225.json,54319085ea24999168c35c5d56caed8da134bdea02ba8d48f96f2c5d9ccec602,35.28443199999976
40,21,4,False,1315.1989579156711,1504.373906678048,257.0,239.91856408119202,results/logs/train_v3_winter_fee40_1788715529.json,5f4bfab1f35b99a7b4481fbcb6ca5580b57fbf5ac9d9d5931ca65955011f9050,35.418191599999986
40,22,4,False,1318.4816691447586,1499.772575819391,256.0,239.41203093528748,results/logs/train_v3_winter_fee40_1788715833.json,6192b05bee3129ab6a31f786fdb6997449a323da8e489f6c640d9caf04a6f4be,35.548828899999705
40,23,4,False,1365.9561689666707,1537.469009520456,256.0,239.61055898666382,results/logs/train_v3_winter_fee40_1788716136.json,a00674de5814c28bc879ed593aa3894552ab31cb9e37356ab52a27919f29811c,36.02873099999991
40,24,4,False,1323.0046034401096,1502.1547714865212,256.0,239.93131923675537,results/logs/train_v3_winter_fee40_1788716439.json,bc035b21fe173f2330af62a528822e5214f496f18dfbd8cebaa7fa7f9281de70,35.62701250000005
80,0,0,False,1736.0518117605072,1872.2778818071245,244.0,229.5100440979004,results/logs/train_v3_winter_fee80_1788706571.json,b480979d7313bef194dd1a7665c910b48e8bd910bc579a3e5f67a022dd2d0c53,35.49227430000015
80,1,0,False,1679.246515043857,1835.0220337276858,243.0,228.5609142780304,results/logs/train_v3_winter_fee80_1788706860.json,83184e2a3b8ff6c6f43a9399fdcd208c57735ca98161ac43363cb148bc799a68,35.65904609999994
80,2,0,True,1606.1354235645586,1769.7049941859927,244.0,229.1248037815094,results/logs/train_v3_winter_fee80_1788707147.json,3950c3c1dfe87cbf0f4ebfb3f6a443c2b0717899f7dd65d5385672eea00258bb,35.52823039999993
80,3,0,False,1658.4382583719644,1825.4509296008416,244.0,229.0771186351776,results/logs/train_v3_winter_fee80_1788707435.json,c66abfe85afef6907adf8ef1ffcae294c3b1b779132f16490f525bbcae788221,36.68465609999997
80,4,0,False,1661.5788811186642,1796.9530329907013,244.0,229.37711882591248,results/logs/train_v3_winter_fee80_1788707722.json,4f90e0f58db81ccf0e53b094b0f4c2836a92f7452b3b107540046d47a570dbc7,35.38469769999962
