seed,iteration,round,mean_validation_cost,selected
0,0,1,1515.0110357473775,False
0,1,2,1553.6815033081084,False
0,2,3,1306.7169561599906,True
0,3,4,1340.851103506441,False
1,0,1,1514.968670700736,False
1,1,2,1543.4810680879955,False
1,2,3,1368.7866956854828,True
1,3,4,1387.1082658752907,False
2,0,1,1514.4489597109484,False
2,1,2,1519.959773027643,False
2,2,3,1303.9358200800455,True
2,3,4,1384.7908276808334,False
3,0,1,1515.0274100161737,False
3,1,2,1497.6110789177333,False
3,2,3,1407.5647530697,False
3,3,4,1375.0957578114992,True
4,0,1,1515.2117690377672,False
4,1,2,1467.5564251722124,False
4,2,3,1304.7668557297168,True
4,3,4,1352.5861223019015,False
5,0,1,1514.702295788066,False
5,1,2,1459.1227058912252,False
5,2,3,1332.119755108437,True
5,3,4,1427.7657796999479,False
6,0,1,1515.2193316327778,False
6,1,2,1513.102685126881,False
6,2,3,1298.3727864384393,True
6,3,4,1426.0813814537862,False
7,0,1,1515.2235443328607,False
7,1,2,1524.2544777631817,False
7,2,3,1304.457339148631,True
7,3,4,1385.834270237861,False
8,0,1,1514.975415890551,False
8,1,2,1475.5032183480164,False
8,2,3,1305.2293010723815,True
8,3,4,1342.971642121178,False
9,0,1,1514.698137051569,False
9,1,2,1468.9727455657205,False
9,2,3,1323.2121978422704,True
9,3,4,1352.4261051621042,False
10,0,1,1514.711413791072,False
10,1,2,1504.4726228527666,False
10,2,3,1342.1585715041438,True
10,3,4,1344.2294342374987,False
11,0,1,1515.0059416410845,False
11,1,2,1500.7784778518217,False
11,2,3,1296.344796000048,True
11,3,4,1400.1751135047946,False
12,0,1,1514.703729940368,False
12,1,2,1481.9378781795108,False
12,2,3,1373.936527272994,True
12,3,4,1377.3900326930664,False
13,0,1,1514.9748292446418,False
13,1,2,1498.4975741645408,False
13,2,3,1376.9460733226238,False
13,3,4,1343.8442567380023,True
14,0,1,1514.703943316397,False
14,1,2,1483.6475490523144,False
14,2,3,1313.7156816557829,True
14,3,4,1363.5298902983961,False
15,0,1,1515.00016465912,False
15,1,2,1546.9321397960653,False
15,2,3,1310.9930004015662,True
15,3,4,1386.2527296647816,False
16,0,1,1514.9493621604663,False
16,1,2,1438.3719919718071,False
16,2,3,1306.8996362061619,True
16,3,4,1440.8686517672065,False
17,0,1,1514.73681475223,False
17,1,2,1457.776929232206,False
17,2,3,1308.534327301898,True
17,3,4,1328.6388786994964,False
18,0,1,1514.7604937347967,False
18,1,2,1487.4295421710463,False
18,2,3,1320.1463099013447,True
18,3,4,1323.8496778255435,False
19,0,1,1514.756001710676,False
19,1,2,1475.1532793803497,False
19,2,3,1366.414349458541,True
19,3,4,1406.8383030122495,False
20,0,1,1515.7291558101133,False
20,1,2,1509.2789487642942,False
20,2,3,1298.701157376334,True
20,3,4,1424.8521651337715,False
21,0,1,1514.7015394236325,False
21,1,2,1482.8873865777773,False
21,2,3,1315.1989579156711,True
21,3,4,1361.2763101816197,False
22,0,1,1514.9749887219298,False
22,1,2,1493.9901121787805,False
22,2,3,1318.4816691447584,True
22,3,4,1407.866317813757,False
23,0,1,1514.5298308790066,False
23,1,2,1498.3548573784983,False
23,2,3,1365.9561689666707,True
23,3,4,1376.920734855356,False
24,0,1,1515.1243346819085,False
24,1,2,1503.4926646859667,False
24,2,3,1323.0046034401093,True
24,3,4,1380.3260365225262,False
