fee,n_scenarios,time_limit_s,stream,n_days,mean_common_cost,mean_bill,mean_capacity_fee,mean_degradation_cost,mean_terminal_penalty,mean_throughput_kwh,mean_exceed_hours,mean_terminal_soc_dev,mean_latency_mean_ms,mean_latency_p95_ms
40,2,5,7301,30,1456.4390855529903,907.7205338231108,321.33333333333314,225.1480159865867,2.2372024099598935,6003.947092975645,8.033333333333331,0.01160500515896832,2047.7186395833362,4595.485705000028
40,2,5,7302,30,1455.9520573214784,907.3951633961449,319.33333333333314,227.08826324461435,2.135297347385863,6055.687019856384,7.983333333333332,0.011160894144834926,2015.3796750694446,4552.517480000025
40,2,5,7303,30,1455.9367659117227,908.4817082255474,319.33333333333314,226.30457332467662,1.8171510281652414,6034.788621991376,7.983333333333332,0.010792472255084269,1795.982667743054,4254.873335000035
40,8,5,7301,30,1682.3477571928522,892.1493567738286,672.6666666666674,115.66017287945803,1.8715608728980935,3084.2712767855464,16.816666666666688,0.009140359035853918,4495.273378159723,5006.792869166735
40,8,5,7302,30,1680.9842689319655,892.7005311833635,670.333333333334,115.7415352105564,2.208869204711385,3086.4409389481702,16.758333333333354,0.011695206712640687,4510.306285590284,5006.885957499991
40,8,5,7303,30,1677.4611874147138,893.3323525589186,662.6666666666673,120.44344975650597,1.0187184326218266,3211.8253268401586,16.566666666666695,0.007748045842849899,4473.106752569438,5005.546096666679
40,16,5,7301,30,1708.1033000474438,886.4940170376459,760.6666666666683,59.58403699616931,1.3585793469602092,1588.9076532311813,19.016666666666662,0.008280001437680123,4869.394966388887,5008.116800000004
40,16,5,7302,30,1707.8784029270535,886.6734977702309,760.3333333333347,59.74499492985688,1.1265768936302791,1593.1998647961843,19.00833333333333,0.008028541788965293,4881.745438194445,5008.423184999979
40,16,5,7303,30,1708.2749549639072,886.5016366874365,760.333333333335,60.59623255903401,0.8437523841018628,1615.899534907574,19.00833333333333,0.006309812385534695,4869.0892696180545,5006.5351291667575
80,16,5,7301,30,2467.9823161443733,886.7459053060727,1519.3333333333362,60.46232706124915,1.440750443714973,1612.328721633311,18.991666666666664,0.007392636969573994,4865.060981562497,5009.397285000038
80,16,5,7302,30,2468.5419457044945,886.7450915822975,1519.3333333333362,59.462311521735266,3.0012092671253026,1585.6616405796074,18.991666666666664,0.012332329262292146,4863.472817500001,5009.1487241667055
80,16,5,7303,30,2471.890810982241,886.4513082571012,1526.66666666667,57.67416572130349,1.0986703371655002,1537.9777525680931,19.08333333333333,0.006429566686939786,4843.19188097222,5008.722009166718
80,16,15,7301,30,2340.9376196473318,896.8329799611987,1317.3333333333346,124.50100428262542,2.270302070173341,3320.0267808700096,16.46666666666669,0.010462880170116913,14488.992094722238,15012.533902499934
80,16,15,7302,30,2336.586475515496,896.936175358335,1310.6666666666679,127.3257367175311,1.6578967729619893,3395.3529791341616,16.38333333333336,0.008938443000424488,14527.345524201413,15011.33473333334
80,16,15,7303,30,2348.812499853788,895.9524084480053,1326.6666666666679,123.62352880923581,2.5698959298789728,3296.6274349129535,16.58333333333336,0.01030799971561259,14560.855582395834,15019.439351666693
